PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Greene County,GA,Woodville,554,GA1330004,2,0,N,NA,NA,,,0,2015,,W,Greene County,Municipality,No,NA,9/1/2012,27105,94,354,GW,NA,Monthly,Constant,2000,Increasing Block,3,4000,NA,24,NA,3.3,NA,36.6,NA,43.8,NA,59.1,NA,83.4,NA,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,NA,NA,NA,0,2015,0,0,2015,TRUE,1,1,17349,0.40941841,7103,0.401406421,6964,0.06046458,52129,3353,0.195248355,5403,0.31462179,7126,0.414953706,0.5604,0.59058159,0.35166292,0,0.011412762,0.000230561,0.038100179,0.008011989,0.005129979
Greensboro city,GA,Greensboro,223,GA1330000,1,0,N,NA,NA,,,0,2010,,B,Greene County,Municipality,No,No,10/1/2011,23988,1214,3156,SW,NA,Monthly,Constant,3000,Uniform Rate,NA,NA,1.139820501,25.4,28.96,25.4,28.96,33.87,38.61,42.34,48.26,59.28,67.56,84.69,96.51,127.4,144.76,Monthly,Constant,3000,Uniform Rate,NA,NA,1.139820501,25.4,28.96,25.4,28.96,33.87,38.61,42.34,48.26,59.28,67.56,84.69,96.51,127.4,144.76,1.42,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,SW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2010,0,0,2010,FALSE,0,0,3339,0.693021863,2314,0.693021863,2314,0.091943696,32643,983,0.302182601,1513,0.46510913,2267,0.696895174,0.435,0.306978137,0.618748128,0,0,0.001197963,0.073075771,0,0
Greenville CDP,NH,Greenville - Greenville Estates Village District - Sewer,51,NH0993020,0,0,N,NA,NA,,,NA,NA,,S,NA,Municipality,NA,NA,NA,NA,440,1100,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,None,0,NA,NA,NA,NA,0,NA,NA,NA,34.96,NA,43.7,NA,NA,NA,87.4,NA,131.1,NA,NA,NA,8/23/2017,53889,NA,NA,NA,NA,NA,Uniform Rate,Uniform Rate,NA,NA,52.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,S,NA,NA,NA,Semi-annually,NA,New Hampshire,1,NA,0,0,NA,FALSE,0,0,992,0.110887097,110,0.101814516,101,0.125,62656,61,0.061491935,188,0.189516129,237,0.23891129,0.3797,0.889112903,0.101814516,0,0,0,0,0.009072581,0
Greenville CDP,NH,Greenville - Water and Sewer,52,NH0991010,3,0,N,NA,NA,,,3,2018,,B,NA,Municipality,NA,NA,NA,NA,440,1100,SW,Metered water and sewer charges modeled here. Utility also offers flat rate water and sewer charges.,Other,Constant,0,Uniform Rate,NA,NA,NA,10.83,NA,NA,NA,36.83,NA,43.33,NA,NA,NA,75.83,NA,108.33,NA,Other,Constant,0,NA,NA,NA,NA,31.67,NA,NA,NA,107.67,NA,126.67,NA,NA,NA,221.67,NA,316.67,NA,NA,NA,8/23/2017,53889,Uniform Rate,NA,NA,49.83,NA,Uniform Rate,Uniform Rate,NA,NA,145.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,S,Semi-annually,0,Uniform Rate,Semi-annually,NA,New Hampshire,0,2018,3,3,2018,FALSE,0,0,992,0.110887097,110,0.101814516,101,0.125,62656,61,0.061491935,188,0.189516129,237,0.23891129,0.3797,0.889112903,0.101814516,0,0,0,0,0.009072581,0
Greenville city,GA,Greenville,224,GA1990000,4,0,N,NA,NA,,,2,2016,,B,Meriwether County,Municipality,No,Yes,NA,25000,605,1627,Other,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,1.174712644,15,18.5,32.1,38.6,37.8,44.58,43.5,51.1,54.9,64.14,72,83.7,1.5,116.3,Monthly,By Meter Size,0,Uniform Rate,NA,NA,1.17469352,15.75,19.43,33.71,39.96,39.69,46.81,45.68,53.66,57.65,67.35,75.61,87.89,15.54,122.12,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2016,2,2,2016,FALSE,0,0,855,0.823391813,704,0.815204678,697,0.011695906,28182,358,0.41871345,436,0.50994152,596,0.697076023,0.4581,0.176608187,0.78245614,0,0,0,0.032748538,0.008187135,0
Greenwood city,WI,Greenwood,213,WI6100328,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,NA,NA,3/15/2013,NA,NA,1079,GW,NA,Quarterly,Constant,0,Decreasing Block,3,16667,NA,33.61,NA,54.31,NA,61.21,NA,68.11,NA,81.91,NA,102.61,NA,137.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.01,NA,NA,NA,NA,NA,NA,NA,42778,81400,1079,484,Clark,West Central,Implied Uniform Rate,1.66,22.61,40.51,47.41,88.81,95.71,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,1008,0.056547619,57,0.013888889,14,0.016865079,47344,86,0.08531746,214,0.212301587,284,0.281746032,0.3716,0.943452381,0,0,0,0,0.013888889,0.04265873,0
Gresham village,WI,Gresham,214,WI4590454,15,0,Y,2020,12,,,NA,NA,,W,NA,Municipality,NA,NA,4/15/2014,NA,NA,534,GW,NA,Monthly,Constant,0,Decreasing Block,3,10000,NA,33.61,NA,59.26,NA,67.81,NA,76.36,NA,93.46,NA,119.11,NA,148.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.91,NA,NA,NA,NA,NA,NA,NA,32792,85000,534,250,Shawano,East Central,Decreasing Block,1.28,19.31,42.16,50.71,102.01,110.56,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2020,12,12,2020,FALSE,0,0,562,0.31316726,176,0.15658363,88,0.042704626,36477,115,0.213358071,194,0.359925788,239,0.443413729,0.4108,0.68683274,0,0.142348754,0.014234875,0,0,0.15658363,0
Griffin city,GA,Griffin,225,GA2550000,0,0,N,NA,NA,,,NA,NA,,B,Spalding County,Municipality,Yes,Yes,3/18/2019,31587,11436,23643,SW,NA,Monthly,By Meter Size,2000,Increasing Block,3,7000,NA,15.72,NA,22.83,NA,29.94,NA,37.5,NA,51.27,NA,77.91,NA,131.16,NA,Monthly,By Meter Size,2000,Uniform Rate,NA,NA,NA,19.63,NA,28.61,NA,37.59,NA,46.57,NA,64.53,NA,91.47,NA,136.37,NA,2.03,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,SW,Monthly,1,Increasing Block,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,22748,0.594953402,13534,0.580050993,13195,0.054114647,36890,5228,0.23168624,9520,0.421892311,12231,0.542034124,0.4779,0.405046598,0.559961315,0.001934236,0.012528574,0,0.005626868,0.014902409,0.002110076
Groveton CDP,NH,Groveton - Water and Sewer,53,NH1781010,0,0,N,NA,NA,,,NA,NA,,B,NA,Municipality,NA,NA,NA,NA,765,2650,GW,NA,Quarterly,Constant,0,Uniform Rate,NA,NA,NA,6.67,NA,NA,NA,27.67,NA,32.92,NA,NA,NA,59.17,NA,85.42,NA,Other,Constant,0,NA,NA,NA,NA,6.67,NA,NA,NA,34.67,NA,41.67,NA,NA,NA,76.67,NA,111.67,NA,NA,NA,1/1/2017,31858,Uniform Rate,NA,NA,38.17,NA,Uniform Rate,Uniform Rate,NA,NA,48.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,G,Quarterly,0,Uniform Rate,Quarterly,NA,New Hampshire,1,NA,0,0,NA,FALSE,0,0,1221,0.07043407,86,0.039312039,48,0.022932023,43315,153,0.126655629,331,0.274006623,447,0.370033113,0.3696,0.92956593,0,0.015561016,0.023751024,0,0,0.031122031,0
Grovetown city,GA,Grovetown,226,GA0730001,4,0,N,NA,NA,,,1,2020,,B,Columbia County,Municipality,No,No,1/1/2016,59575,4477,12165,GW,Has senior rates.,Monthly,Constant,3000,Increasing Block,5,10000,1.542857143,15.75,24.3,15.75,24.3,21,32.4,26.25,4.5,36.75,56.7,52.5,81,79,121.75,Monthly,Constant,3000,Increasing Block,5,10000,1.558139535,12.9,2.1,12.9,2.1,17.2,26.8,21.5,33.5,3.1,46.9,43,67,64.75,1.75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,0,2020,1,1,2020,FALSE,0,0,14053,0.386679001,5434,0.30833274,4333,0.16637017,68756,1165,0.083794864,2118,0.152341221,3604,0.259224628,0.3022,0.613320999,0.278445883,0.009393012,0.006617804,0,0.013876041,0.078346261,0.012310539
Guyton city,GA,Guyton,227,GA1030000,3,0,N,NA,NA,,,2,2019,,B,Effingham County,Municipality,No,Yes,7/1/2019,56442,921,2394,GW,NA,Monthly,Constant,2000,Increasing Block,5,5000,NA,21.62,NA,25.45,NA,29.28,NA,33.11,NA,41.75,NA,54.71,NA,76.31,NA,Monthly,Constant,2000,Uniform Rate,2,15000,NA,33.71,NA,39.23,NA,44.75,NA,5.27,NA,61.31,NA,77.87,NA,15.47,NA,2.13,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Implied Uniform Rate,Georgia,0,2019,2,2,2019,FALSE,0,0,2125,0.383058824,814,0.375529412,798,0.019294118,62875,307,0.144674835,500,0.235626767,655,0.308671065,0.4148,0.616941176,0.364705882,0,0,0,0.010823529,0.007529412,0.002823529
Gwinnett County,GA,Gwinnett County,228,GA1350004,0,0,N,NA,NA,,,NA,NA,,B,Gwinnett County,Other_Govt,Yes,Yes,1/1/2019,64856,228927,795657,SW,NA,Monthly,By Meter Size,0,Increasing Block,3,7999,NA,7.5,NA,22.47,NA,27.46,NA,32.45,NA,42.43,NA,62.39,NA,17.31,NA,Monthly,Constant,0,Increasing Block,3,7999,NA,8.14,NA,23.11,NA,28.1,NA,33.9,NA,43.7,NA,63.3,NA,17.95,NA,1.51,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,SW,Monthly,1,Increasing Block,Monthly,Increasing Block,NA,1,NA,0,0,NA,TRUE,1,1,915046,0.515411247,471625,0.48500294,443800,0.211664769,71026,97006,0.106764253,178366,0.196308607,267410,0.294309927,0.4267,0.484588753,0.278090938,0.004063184,0.116249893,0.000278675,0.086320251,0.030408307,0.005568026
Hagan city,GA,Hagan,229,GA1090003,1,0,N,NA,NA,,,1,2016,,B,Evans County,Municipality,No,No,3/1/2016,49583,540,1404,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,1.214285714,2.5,26.5,23,29,25.5,31.5,28,34,33,39,4.5,46.5,53,59,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,33,NA,38,NA,43,NA,48,NA,58,NA,73,NA,98,NA,0.83,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2016,1,1,2016,FALSE,0,0,1274,0.328100471,418,0.328100471,418,0.075353218,49688,274,0.215070644,372,0.291993721,488,0.383045526,0.4789,0.671899529,0.311616954,0,0.016483516,0,0,0,0
Hahira city,GA,Hahira,230,GA1850000,2,14,Y,NA,NA,Y,Y,NA,NA,,B,Lowndes County,Municipality,Yes,Yes,2/28/2019,39797,1314,3097,GW,Has separate rates for senior citizens.,Monthly,Constant,3000,Uniform Rate,NA,NA,1.325754444,16.33,24.21,16.33,24.21,2.26,28.14,24.19,32.7,32.5,39.93,43.84,51.72,63.49,71.37,Monthly,Constant,3000,Uniform Rate,NA,NA,NA,2.85,NA,2.85,NA,26.48,NA,32.11,NA,43.37,NA,6.26,NA,88.41,NA,0.94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,NA,NA,NA,NA,FALSE,0,0,2950,0.117966102,348,0.109152542,322,0.108135593,52768,617,0.209792588,901,0.306358382,1424,0.484189051,0.4619,0.882033898,0.079661017,0.010847458,0,0.018644068,0,0.008813559,0
Hamilton city,GA,Hamilton,232,GA1450000,0,0,N,NA,NA,,,NA,NA,,B,Harris County,Municipality,No,No,1/1/2015,58036,568,1318,GW,Residential water rates are higher than shown for larger meter sizes.,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,12,NA,19,NA,23,NA,27,NA,35,NA,47,NA,72,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,15,NA,24,NA,27,NA,3,NA,36,NA,45,NA,6,NA,1.38,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,1867,0.364220675,680,0.321906802,601,0.050348152,85254,78,0.048,152,0.093538462,484,0.297846154,0.3547,0.635779325,0.287627209,0,0.003213712,0,0.031065881,0.042313873,0
Hammond village,WI,Hammond,215,WI6560121,0,3,N,NA,NA,,,0,2013,,W,NA,Municipality,NA,NA,12/26/2013,NA,NA,1614,GW,NA,Monthly,Constant,0,Decreasing Block,4,6666,NA,25,NA,38.5,NA,43,NA,47.5,NA,56.2,NA,67,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,65380,132500,1614,747,St. Croix,West Central,Decreasing Block,1.38,17,29.5,34,59.8,63.4,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2013,0,0,2013,FALSE,0,0,2033,0.032956222,67,0.005902607,12,0.027545499,71528,150,0.075834176,247,0.12487361,400,0.202224469,0.3696,0.967043778,0.003935071,0,0.001967536,0,0,0.027053615,0
Hampton CDP,NH,Aquarion Water Company of New Hampshire,8,NH1051010,0,0,N,NA,NA,,,NA,NA,,W,NA,For_Profit,NA,NA,NA,NA,8600,23000,GW,Utility has additional rate structure for seasonal customers not modeled here. 5.69% WICA surcharge is included within total bill.,Quarterly,By Meter Size,0,Uniform Rate,NA,NA,NA,16.4876,NA,NA,NA,42.1245,NA,48.5338,NA,NA,NA,80.5799,NA,112.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/1/2013,NA,Uniform Rate,NA,2.02,54.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Profit,G,Quarterly,0,Uniform Rate,NA,NA,NA,1,NA,0,0,NA,FALSE,0,0,9166,0.038293694,351,0.01418285,130,0.005782239,92220,346,0.038013623,692,0.076027247,1206,0.132498352,0.4524,0.961706306,0.001527384,0.002945669,0.008618809,0,0.001090988,0.024110844,0.000109099
Hampton city,GA,Hampton,233,GA1510000,3,0,N,NA,NA,,,0,2011,,B,Henry County,Municipality,No,No,10/1/2015,55411,2300,7305,Other,Includes sewer surcharge rate.,Monthly,Constant,0,Increasing Block,3,6000,NA,9.25,NA,24.16,NA,29.13,NA,34.11,NA,45.82,NA,66.4,NA,115.39,NA,Monthly,Constant,0,Increasing Block,3,6000,NA,9.25,NA,34.66,NA,43.13,NA,51.6,NA,7.31,NA,11.4,NA,167.88,NA,1.24,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,0,2011,0,0,2011,FALSE,0,0,7735,0.543891403,4207,0.543891403,4207,0.081706529,63726,778,0.100698939,2333,0.301967383,2793,0.361506601,0.3793,0.456108597,0.534195217,0,0.007239819,0,0.002456367,0,0
Hancock County,GA,Hancock County,234,GA1410019,1,0,N,NA,NA,,,0,2013,,B,Hancock County,Other_Govt,No,No,5/1/2007,29268,478,1217,Other,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,24,NA,27.75,NA,31.5,NA,35.25,NA,42.75,NA,54,NA,72.75,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,28,NA,28,NA,28,NA,28,NA,28,NA,28,NA,28,NA,0.34,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,P,Monthly,1,Uniform Rate,Monthly,Non-Volumetric Flat Fee,NA,0,2013,0,0,2013,TRUE,1,1,8515,0.755725191,6435,0.750675279,6392,0.016676453,31860,1340,0.221670802,2354,0.389412738,3179,0.525889165,0.4697,0.244274809,0.732237228,0,0.003640634,0.001409278,0.013388139,0.005049912,0
Hancock village,WI,Hancock,216,WI4700267,2,0,N,NA,NA,,Y,2,2020,,W,NA,Municipality,NA,NA,6/27/2014,NA,NA,462,GW,NA,Quarterly,Constant,0,Decreasing Block,2,10000,NA,19.69,NA,33.04,NA,37.49,NA,41.94,NA,50.84,NA,64.19,NA,79.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.39,NA,NA,NA,NA,NA,NA,NA,30577,70400,462,175,Waushara,East Central,Decreasing Block,1.44,9.69,24.14,28.59,55.29,59.74,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2020,2,2,2020,FALSE,0,0,413,0.05811138,24,0.041162228,17,0.186440678,35000,102,0.255,171,0.4275,233,0.5825,0.4027,0.94188862,0.004842615,0.007263923,0,0,0.02905569,0.016949153,0
Hanover CDP,NH,Hanover - Water and Sewer,55,NH1071010,1,3,N,NA,NA,,,0,2014,,B,NA,Municipality,NA,NA,NA,NA,2100,8500,SW,NA,Quarterly,By Meter Size,0,Uniform Rate,NA,NA,NA,20.33,NA,NA,NA,39.32,NA,44.06,NA,NA,NA,67.79,NA,91.52,NA,Other,By Meter Size,0,NA,NA,NA,NA,8,8.33,NA,NA,25.63,25.98,30.03,30.39,NA,NA,52.06,52.45,74.1,74.51,NA,NA,6/19/2017,113925,Uniform Rate,NA,1.07,48.81,NA,Uniform Rate,Uniform Rate,1.010452962,1.07,34.44,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,S,Quarterly,0,Uniform Rate,Quarterly,NA,NA,0,2014,0,0,2014,FALSE,0,0,8508,0.20745181,1765,0.164551011,1400,0.048660085,109514,617,0.138995269,721,0.162423969,1001,0.225501239,0.5795,0.79254819,0.036436295,0.004701457,0.117183827,0,0.006229431,0.042900799,0.002938411
Hapeville city,GA,Hapeville,235,GA1210006,0,1,N,NA,NA,,,0,2015,,B,Fulton County,Municipality,Yes,Yes,1/1/2014,44828,2251,6500,Other,NA,Monthly,Constant,0,Increasing Block,3,9900,NA,17.56,NA,43.9,NA,52.68,NA,61.46,NA,79.2,NA,15.58,NA,16.48,NA,Monthly,Constant,0,Increasing Block,4,2000,NA,12.24,NA,32.25,NA,4.2,NA,47.79,NA,63.33,NA,86.72,NA,129.62,NA,1.45,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,0,2015,0,0,2015,FALSE,0,0,6577,0.5722974,3764,0.526531853,3463,0.231716588,44881,1712,0.260301049,2475,0.376311388,2853,0.4337844,0.3644,0.4277026,0.404287669,0,0.027824236,0,0.094419948,0.045765547,0.002584765
Haralson County,GA,Haralson County Water Authority,236,GA1430007,0,5,N,NA,NA,,,4,2019,,W,Haralson County,Other_Govt,No,NA,7/1/2014,43663,4700,12220,SW,Has senior rates.,Monthly,Constant,2000,Increasing Block,3,6000,NA,15,NA,18.98,NA,22.96,NA,26.94,NA,35.57,NA,49.52,NA,84.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authority,SW,Monthly,1,Increasing Block,NA,NA,NA,0,2019,4,4,2019,TRUE,1,1,29227,0.076949396,2249,0.059191843,1730,0.017039039,48550,4274,0.148805793,7340,0.255553234,10301,0.358644941,0.4394,0.923050604,0.050672324,0.000684299,0.004105793,0,0.003729428,0.017757553,0.000615869
Harlem city,GA,Harlem,237,GA0730002,2,10,Y,NA,NA,Y,Y,NA,NA,,B,Columbia County,Municipality,No,No,1/1/2017,46618,2286,6099,Other,Doesn't provide residential sewer outisde city limits. Does provide sewer outside city limits to Harlem High School (at inside water rates) and to DOT I-20 rest area (at outside water rates).,Monthly,Constant,2000,Uniform Rate,2,20000,2.045059289,13.93,27.86,17.72,35.82,21.51,43.78,25.3,51.74,32.88,67.66,44.25,91.54,63.2,131.34,Monthly,Constant,2000,Uniform Rate,2,20000,NA,13.93,NA,17.72,NA,21.51,NA,25.3,NA,32.88,NA,44.25,NA,63.2,NA,0.94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Implied Uniform Rate,Monthly,Implied Uniform Rate,Georgia,0,NA,NA,NA,NA,FALSE,0,0,3137,0.233025183,731,0.218999044,687,0.014344916,56607,341,0.109015345,569,0.181905371,931,0.297634271,0.3615,0.766974817,0.215173733,0,0,0,0.003825311,0.01402614,0
